Year,City,Country,Start date,End date,Registrants,Oral abstracts,Poster abstracts,Hosts,Venue
1971,Madrid,Spain,,,,,,,
1973,Smolenice,Slovakia,,,,,,,
1975,Paris,France,,,,,,,
1977,Sofia,Bulgaria,,,,,,,
1979,Amsterdam,The Netherlands,6/18/1979,6/23/1979,,,,,
1981,Kyoto,Japan,9/17/1981,9/19/1981,,,,,
1983,Houston,USA,11/30/1983,12/2/1983,,,,,
1986,Amsterdam,The Netherlands,,,,,,,
1988,Marseille,France,5/29/1988,6/1/1999,,,,,
1990,Munich,Germany,9/2/1990,9/6/1990,,,,,
1992,Portland,USA,5/24/1992,5/27/1992,,,,,
1994,Masumoto,Japan,10/3/1994,10/7/1994,,,,,
1997,Paris,France,6/22/1997,6/26/1997,,,,,
1999,Waterloo,Canada,7/10/1999,7/15/1999,,,,,
2001,Maastricht,The Netherlands,6/23/2001,6/27/2001,,,,,
2003,Sydney,Australia,3/23/2003,3/27/2003,202,109,118,,
2005,Marseille,France,5/29/2005,6/2/2005,465,,,,"Mercure Eurocenter Hotel, Marseille"
2007,Burlington,USA,7/14/2007,7/18/2007,354,48,260,,The Wyndham Hotel
2009,Bologna,Italy,6/21/2009,6/25/2009,470,97,365,"Lorenzo Chiari, Antonio Nardone ","Palazzo Re Enzo, Piazza Nettuno 1/C, Bologna"
2012,Trondheim,Norway,6/24/2012,6/28/2012,565,153,201,"Jorunn Helbostad, Beatrix Vereijken","Clarion Hotel & Congress, Norway"
2013,Akita,Japan,6/22/2013,6/26/2013,504,72,403,"Kazuo Ishikawa, Masahiko Yamamoto",Akita View Hotel
2014,Vancouver,Canada,6/29/2014,7/3/2014,409,72,302,"Mark Carpenter, Brad McFadyen",The Westin Bayshore Hotel
2015,Seville,Spain,6/28/2015,7/2/2015,487,72,403,"Mark Hollands, Shirley Rietdyk",Melia Sevilla Hotelâ€‹
2017,Ft. Lauderdale,USA,6/25/2017,6/29/2017,,95,347,"Vivian Weerdesteyn, Martijn Muller",Westin Fort Lauderdale Beach Resort
2019,Edinburgh,Scotland,6/30/2019,7/4/2019,,,,"Kristen Hollands, Mike Cinelli",Edinburgh International Conference Centre
2022,Brisbane,Australia,7/2/2021,7/7/2022,,,,,
